date,cap_price,equal_price,cap_ret_1m,equal_ret_1m,breadth_signal
2023-08-10,4468.830078125,145.1636505126953,-0.009137382502277358,-0.01124465618480519,WEAK
2023-08-11,4464.0498046875,145.1924285888672,-0.009182299964235807,-0.005195386316292905,WEAK
2023-08-14,4489.72021484375,145.1636505126953,-0.007311819459477897,-0.007285824343618907,WEAK
2023-08-15,4437.85986328125,143.2536163330078,-0.025712542687278073,-0.026355070498563893,WEAK
2023-08-16,4404.330078125,142.2073974609375,-0.03534823185048652,-0.038234290678357374,WEAK
2023-08-17,4370.35986328125,141.11318969726562,-0.03627672891506717,-0.04464214139140199,WEAK
2023-08-18,4369.7099609375,141.36273193359375,-0.03673223095092326,-0.04431897131981466,WEAK
2023-08-21,4399.77001953125,141.3339385986328,-0.03400271207794503,-0.04717209774857001,WEAK
2023-08-22,4387.5498046875,140.77725219726562,-0.03938954206247103,-0.05160042039715684,WEAK
2023-08-23,4436.009765625,141.94821166992188,-0.028628725981277747,-0.04587116254835921,WEAK
2023-08-24,4376.31005859375,140.5852813720703,-0.035504856759388304,-0.04666751031180272,WEAK
2023-08-25,4405.7099609375,141.29554748535156,-0.038522732443296626,-0.04656752488797877,WEAK
2023-08-28,4433.31005859375,142.3513641357422,-0.033918339595177316,-0.04241998798654789,WEAK
2023-08-29,4497.6298828125,143.95423889160156,-0.0172831034371288,-0.027682472923744927,WEAK
2023-08-30,4514.8701171875,144.40536499023438,0.00032790882771460694,-0.015250800832230738,FRAGILE
2023-08-31,4507.66015625,143.8966522216797,0.0012816882145096908,-0.013814156933081079,FRAGILE
2023-09-01,4515.77001953125,144.49176025390625,0.008427865866390771,-0.0052861765584861775,HEALTHY
2023-09-05,4496.830078125,142.7064971923828,-0.00478259389556579,-0.025815580408383165,WEAK
2023-09-06,4465.47998046875,142.21697998046875,-0.007534349894136927,-0.024298805175010152,WEAK
2023-09-07,4451.14013671875,141.6506805419922,-0.003708795862673475,-0.025359888106437523,WEAK
2023-09-08,4457.490234375,141.71788024902344,-0.0025375419409005007,-0.02373714253879644,WEAK
2023-09-11,4487.4599609375,141.94821166992188,0.005244152120663648,-0.02234425686295094,FRAGILE
2023-09-12,4461.89990234375,141.765869140625,-0.00619644680931819,-0.023406557771658898,WEAK
2023-09-13,4467.43994140625,141.19955444335938,0.006665392562244854,-0.014338638997242192,FRAGILE
2023-09-14,4505.10009765625,142.85049438476562,0.022879760995149878,0.004522246629292015,HEALTHY
2023-09-15,4450.31982421875,141.6506805419922,0.018295967251874323,0.003808934132093933,HEALTHY
2023-09-18,4453.52978515625,141.31137084960938,0.01918201092705174,-0.00036332832056829023,HEALTHY
2023-09-19,4443.9501953125,141.08001708984375,0.010041473891845953,-0.0017966067549434195,HEALTHY
2023-09-20,4402.2001953125,140.4341278076172,0.0033390824667900443,-0.002437356776701649,HEALTHY
2023-09-21,4330.0,138.1012725830078,-0.02389755010155259,-0.027101004244135973,WEAK
2023-09-22,4320.06005859375,137.55178833007812,-0.012853294041527574,-0.021577600531052732,WEAK
2023-09-25,4337.43994140625,137.8988494873047,-0.015495804339494601,-0.024039667622215877,WEAK
2023-09-26,4273.52978515625,135.9612274169922,-0.03604085239374899,-0.04488988748050593,WEAK
