date,m2,gdp,yield_10y,yield_2y,m2_yoy,gdp_yoy,excess_liquidity,yield_spread
1976-07-01,1086.3,1886.558,7.88,7.02,,,,0.8600000000000003
1976-10-01,1125.0,1934.273,7.49,6.24,,,,1.25
1977-04-01,1199.6,2055.909,7.43,6.02,,,,1.4100000000000001
1977-07-01,1226.7,2118.473,7.34,6.12,,,,1.2199999999999998
1979-01-01,1371.6,2526.61,,,,0.3392697176551158,,
1979-10-01,1460.4,2723.883,9.51,10.14,,0.4082205562503327,,-0.6300000000000008
1980-01-01,1482.7,2789.842,,,,0.3569871040011985,,
1980-04-01,1502.2,2797.352,12.69,14.59,,0.32045676296086856,,-1.9000000000000004
1980-07-01,1545.5,2856.483,10.13,9.01,,0.13055952442205165,,1.120000000000001
1980-10-01,1584.8,2985.557,11.78,12.02,,0.09606653442897506,,-0.2400000000000002
1981-01-01,1606.9,3124.206,,,,0.1198505148320228,,
1981-04-01,1659.2,3162.532,13.14,13.19,,0.13054488673574172,,-0.049999999999998934
1981-07-01,1681.9,3260.609,14.04,14.94,0.5482831630304705,0.14147677406096926,0.4068063889695013,-0.9000000000000004
1981-10-01,1721.8,3280.818,15.75,16.57,0.5304888888888888,0.09889645382754386,0.4315924350613449,-0.8200000000000003
1982-01-01,1770.4,3274.302,,,0.47582527509169736,0.04804292674682786,0.4277823483448695,
1982-04-01,1803.9,3331.972,14.1,14.42,0.47053069210075815,0.05357732348637101,0.41695336861438714,-0.3200000000000003
1982-07-01,1831.5,3366.322,14.4,14.6,0.33530183727034135,0.032421244006871186,0.30288059326347017,-0.1999999999999993
1982-10-01,1869.7,3402.561,11.51,11.13,0.2802656806354422,0.03710751404070578,0.24315816659473644,0.379999999999999
1983-04-01,2028.6,3578.848,,,0.36817967221959935,0.09301096844457235,0.275168703775027,
1983-07-01,2064.8,3689.179,10.93,10.17,0.37451737451737466,0.10720588288256927,0.2673114916348054,0.7599999999999998
1984-10-01,2258.9,4148.551,12.54,12.09,0.4615981882885798,0.2323690365924591,0.22922915169612068,0.4499999999999993
1985-01-01,2332.4,4230.168,,,0.4717314487632509,0.24323061364660314,0.22850083511664776,
1985-04-01,2375.4,4294.887,11.66,10.45,0.4782500466737196,0.20007527561941707,0.27817477105430255,1.2100000000000009
1985-07-01,2429.5,4386.773,10.19,8.66,0.4642598842815815,0.18909193617333298,0.2751679481082485,1.5299999999999994
1985-10-01,2468.0,4444.094,10.29,8.83,0.4673880730126643,0.07124005466004868,0.3961480183526156,1.459999999999999
1986-01-01,2502.1,4507.894,,,0.4531885236380533,0.06565365725427474,0.38753486638377854,
1986-04-01,2557.8,4545.34,7.37,6.89,0.4447582467239042,0.05831422340098835,0.38644402332291583,0.4800000000000004
1986-07-01,2626.6,4607.669,7.37,6.8,0.45606740950163527,0.050355010391465393,0.4057123991101699,0.5700000000000003
1986-10-01,2687.4,4657.627,7.41,6.36,0.4673218673218673,0.04804871364107077,0.41927315368079654,1.0499999999999998
